"stratum","variable","description","type","frequencies","most_frequent","count_n","missing"
"2","quality","The quality of the energy supply perceived by the user","Categorical","good: 31 (83.8%); excellent: 6 (16.2%)","good","37","0"
"2","important_criteria","The most important aspect of the energy supply","Categorical","Stability: 17 (45.9%); demand satisfaction: 12 (32.4%); Cost: 3 (8.1%); Other: 3 (8.1%); Missing: 1 (2.7%); Security: 1 (2.7%)","Stability","37","0"
"2","affordability","Accessibility of the SHS in economic terms perceived by the user","Categorical","accesible: 36 (97.3%); inaccesible: 1 (2.7%)","accesible","37","0"
"2","blackouts_freq","Frequency of blackouts","Categorical","Never: 29 (78.4%); cannot estimate: 7 (18.9%); 2 per month: 1 (2.7%)","Never","37","0"
"2","client_satisfaction","Degree of general satisfaction expressed by the user regarding the SHS","Categorical","satisfied: 33 (89.2%); very satisfied: 4 (10.8%)","satisfied","37","0"
"2","education_improvements","If they observed educational improvements after connecting to the microgrid","Categorical","Yes: 29 (78.4%); No: 8 (21.6%)","Yes","37","0"
"2","ic_improvement","If they observed improvements in the information and communication after connecting to the microgrid","Categorical","Yes: 32 (86.5%); No: 5 (13.5%)","Yes","37","0"
"2","activities_improvements","If their daily activities have improved after getting connected to the microgrid","Categorical","Yes: 27 (73.0%); No: 10 (27.0%)","Yes","37","0"
"2","new_activities","They perform new activities after getting connected to the micro grid","Categorical","No: 33 (89.2%); Yes: 4 (10.8%)","No","37","0"
"2","health_improvement","If they perceived health improvement after getting connected to the micro grid","Categorical","No: 37 (100.0%)","No","37","0"
"2","limitations","If the client perceives limitations to use new appliances","Categorical","No: 31 (83.8%); Yes: 6 (16.2%)","No","37","0"
"2","income_improvement","If they perceived an income improvement after connecting to the micro grid","Categorical","No: 36 (97.3%); Yes: 1 (2.7%)","No","37","0"
"2","free_time_improvement","If the family members have more free time after connecting to the micro grid","Categorical","No: 37 (100.0%)","No","37","0"
