"variable","description","type","frequencies","most_frequent","missing"
"quality","The quality of the energy supply perceived by the user","Categorical","good: 65 (86.7%); excellent: 10 (13.3%)","good","0"
"important_criteria","The most important aspect of the energy supply","Categorical","Stability: 35 (46.7%); demand satisfaction: 19 (25.3%); Cost: 12 (16.0%); Other: 5 (6.7%); Security: 2 (2.7%); Missing: 1 (1.3%); CO2 emissions: 1 (1.3%)","Stability","0"
"affordability","Accessibility of the SHS in economic terms perceived by the user","Categorical","accesible: 74 (98.7%); inaccesible: 1 (1.3%)","accesible","0"
"blackouts_freq","Frequency of blackouts","Categorical","Never: 66 (88.0%); cannot estimate: 8 (10.7%); 2 per month: 1 (1.3%)","Never","0"
"client_satisfaction","Degree of general satisfaction expressed by the user regarding the SHS","Categorical","satisfied: 70 (93.3%); very satisfied: 5 (6.7%)","satisfied","0"
"education_improvements","If they observed educational improvements after connecting to the microgrid","Categorical","Yes: 57 (76.0%); No: 18 (24.0%)","Yes","0"
"ic_improvement","If they observed improvements in the information and communication after connecting to the microgrid","Categorical","Yes: 63 (84.0%); No: 12 (16.0%)","Yes","0"
"activities_improvements","If their daily activities have improved after getting connected to the microgrid","Categorical","Yes: 43 (57.3%); No: 32 (42.7%)","Yes","0"
"new_activities","They perform new activities after getting connected to the micro grid","Categorical","No: 67 (89.3%); Yes: 8 (10.7%)","No","0"
"health_improvement","If they perceived health improvement after getting connected to the micro grid","Categorical","No: 75 (100.0%)","No","0"
"limitations","If the client perceives limitations to use new appliances","Categorical","No: 60 (80.0%); Yes: 15 (20.0%)","No","0"
"income_improvement","If they perceived an income improvement after connecting to the micro grid","Categorical","No: 68 (90.7%); Yes: 7 (9.3%)","No","0"
"free_time_improvement","If the family members have more free time after connecting to the micro grid","Categorical","No: 73 (97.3%); Yes: 2 (2.7%)","No","0"
